VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4	1726960271942	399.25	-273.422	-34.244	0.997865	-0.0133578	-0.0354574	-0.0531965	img_PX4__0_1726960271937992000.png
PX4	1726960273382	413.361	-283.105	-34.2429	0.997812	-0.0133759	-0.0355424	-0.054125	img_PX4__0_1726960273379165600.png
PX4	1726960274963	428.89	-293.762	-34.2518	0.997757	-0.0131023	-0.0356792	-0.0550958	img_PX4__0_1726960274959739600.png
PX4	1726960276442	443.416	-303.727	-34.2594	0.997719	-0.0130819	-0.0353417	-0.0559974	img_PX4__0_1726960276437472500.png
PX4	1726960278063	459.317	-314.635	-34.2564	0.99766	-0.0133156	-0.0357352	-0.0567459	img_PX4__0_1726960278058857200.png
PX4	1726960279523	473.63	-324.456	-34.2439	0.9976	-0.0135703	-0.0362499	-0.0574088	img_PX4__0_1726960279520118100.png
PX4	1726960281113	489.257	-335.181	-34.2282	0.997563	-0.0127216	-0.0361127	-0.0583359	img_PX4__0_1726960281109217200.png
PX4	1726960282868	506.518	-347.003	-34.2295	0.997508	-0.0130048	-0.0360161	-0.0592542	img_PX4__0_1726960282864404600.png
PX4	1726960284636	523.875	-358.887	-34.2309	0.997461	-0.0132453	-0.0360025	-0.0600017	img_PX4__0_1726960284632758500.png
PX4	1726960286405	541.284	-370.821	-34.2285	0.997401	-0.012999	-0.0367931	-0.0605704	img_PX4__0_1726960286400583700.png
PX4	1726960288260	559.549	-383.328	-34.2313	0.997376	-0.0128397	-0.0365181	-0.0611791	img_PX4__0_1726960288254436900.png
PX4	1726960290091	577.59	-395.671	-34.2308	0.997349	-0.0134065	-0.0362041	-0.0616743	img_PX4__0_1726960290085017300.png
PX4	1726960291706	593.473	-406.553	-34.2231	0.997331	-0.0129354	-0.036203	-0.0620754	img_PX4__0_1726960291701471300.png
PX4	1726960293481	610.943	-418.518	-34.2083	0.997283	-0.0131519	-0.0366852	-0.0625124	img_PX4__0_1726960293477094200.png
PX4	1726960295146	627.358	-429.748	-34.1994	0.99729	-0.0127648	-0.0360604	-0.062845	img_PX4__0_1726960295136583200.png
PX4	1726960296722	642.879	-440.367	-34.2032	0.997236	-0.0132275	-0.0368134	-0.0631741	img_PX4__0_1726960296717030400.png
PX4	1726960297900	654.51	-448.329	-34.2093	0.99727	-0.0122983	-0.0361956	-0.0631832	img_PX4__0_1726960297896946500.png
PX4	1726960299086	666.196	-456.323	-34.2176	0.997253	-0.0123977	-0.0363696	-0.0633185	img_PX4__0_1726960299082571100.png
PX4	1726960300181	676.989	-463.701	-34.2221	0.997232	-0.01325	-0.0362032	-0.0635762	img_PX4__0_1726960300177232200.png
PX4	1726960301313	688.136	-471.327	-34.2215	0.997206	-0.0131231	-0.0366726	-0.0637362	img_PX4__0_1726960301309995800.png
PX4	1726960302436	699.196	-478.894	-34.2137	0.997196	-0.0127439	-0.0367309	-0.0639489	img_PX4__0_1726960302433691300.png
PX4	1726960303938	713.999	-489.016	-34.195	0.997167	-0.0129552	-0.0371052	-0.0641367	img_PX4__0_1726960303933895100.png
PX4	1726960305247	726.912	-497.84	-34.1868	0.997175	-0.0131375	-0.0366232	-0.0642486	img_PX4__0_1726960305244782300.png
PX4	1726960306635	740.609	-507.211	-34.1934	0.997199	-0.0127136	-0.0362003	-0.0642049	img_PX4__0_1726960306632120400.png
PX4	1726960308050	754.59	-516.774	-34.2063	0.997179	-0.0124515	-0.0366575	-0.064306	img_PX4__0_1726960308045814000.png
PX4	1726960309987	773.69	-529.823	-34.2082	0.99714	-0.013574	-0.0367946	-0.0646051	img_PX4__0_1726960309980275900.png
PX4	1726960311423	787.878	-539.532	-34.2013	0.997139	-0.0128126	-0.0368647	-0.0647284	img_PX4__0_1726960311418434000.png
PX4	1726960312663	800.107	-547.898	-34.1922	0.997133	-0.0132182	-0.0368576	-0.064751	img_PX4__0_1726960312658623300.png
PX4	1726960314135	814.636	-557.832	-34.1791	0.997137	-0.0130974	-0.0368781	-0.0646967	img_PX4__0_1726960314130853900.png
PX4	1726960315369	826.82	-566.162	-34.1736	0.997161	-0.0129147	-0.0365294	-0.0645639	img_PX4__0_1726960315366245600.png
PX4	1726960316714	840.128	-575.268	-34.174	0.99715	-0.0131547	-0.0367251	-0.0645778	img_PX4__0_1726960316711175900.png
PX4	1726960318021	853.016	-584.09	-34.1778	0.997139	-0.0128562	-0.036998	-0.064655	img_PX4__0_1726960318017426700.png
PX4	1726960319455	867.184	-593.783	-34.1768	0.997143	-0.0128604	-0.0367214	-0.0647428	img_PX4__0_1726960319449402200.png
PX4	1726960320822	880.677	-603.007	-34.1728	0.997126	-0.0132568	-0.0370605	-0.0647279	img_PX4__0_1726960320817617600.png
PX4	1726960321915	891.478	-610.388	-34.1662	0.997144	-0.0132049	-0.0366035	-0.0647308	img_PX4__0_1726960321911251100.png
PX4	1726960323093	903.119	-618.349	-34.1547	0.997152	-0.013047	-0.0364712	-0.0647189	img_PX4__0_1726960323089928800.png
PX4	1726960324366	915.691	-626.953	-34.1492	0.997164	-0.0123244	-0.0365253	-0.0646437	img_PX4__0_1726960324362136200.png
PX4	1726960325539	927.282	-634.879	-34.1511	0.997139	-0.0130245	-0.0370062	-0.0646109	img_PX4__0_1726960325535049500.png
PX4	1726960326677	938.523	-642.564	-34.1596	0.997153	-0.0132522	-0.036531	-0.0646146	img_PX4__0_1726960326672707200.png
PX4	1726960327730	948.933	-649.691	-34.1708	0.997158	-0.0130841	-0.0364784	-0.0646022	img_PX4__0_1726960327727175200.png
PX4	1726960328753	959.039	-656.62	-34.1717	0.99714	-0.0133382	-0.0369908	-0.0645457	img_PX4__0_1726960328750875600.png
PX4	1726960329884	970.209	-664.286	-34.17	0.997162	-0.0133513	-0.0365247	-0.0644572	img_PX4__0_1726960329880313300.png
PX4	1726960330845	978.945	-670.227	-34.3414	0.942877	0.181101	0.269692	-0.0738355	img_PX4__0_1726960330843074900.png
PX4	1726960331665	982.554	-672.358	-34.2934	0.917704	0.18779	0.340453	-0.0815247	img_PX4__0_1726960331661430200.png
PX4	1726960332294	982.242	-671.896	-33.6191	0.962072	0.104867	0.241235	-0.0722863	img_PX4__0_1726960332290570400.png
PX4	1726960332925	980.183	-670.433	-32.8277	0.996744	0.0246977	0.0352693	-0.0681732	img_PX4__0_1726960332923080400.png
PX4	1726960333635	977.498	-668.514	-32.1003	0.998829	-0.0142837	-0.0219662	-0.0406774	img_PX4__0_1726960333631234100.png
PX4	1726960334466	975.183	-666.699	-31.3065	0.912728	-0.202313	-0.146144	0.323479	img_PX4__0_1726960334463498900.png
PX4	1726960335392	975.689	-666.6	-30.0096	0.683327	-0.140932	-0.0273105	0.715861	img_PX4__0_1726960335390260400.png
PX4	1726960336575	978.405	-668.162	-28.1071	0.357767	0.134618	0.034429	0.923415	img_PX4__0_1726960336569760800.png
PX4	1726960337688	978.158	-669.176	-26.6858	0.249787	0.109279	-0.0358033	0.961448	img_PX4__0_1726960337685243600.png
PX4	1726960338813	975.756	-668.64	-25.8022	0.368576	-0.0864397	-0.0551771	0.923924	img_PX4__0_1726960338808805600.png
PX4	1726960340260	975.749	-667.578	-24.2866	0.316908	-0.0824065	0.0294046	0.944412	img_PX4__0_1726960340256746000.png
PX4	1726960341649	978.009	-668.052	-22.1126	0.332915	0.0737274	0.0192265	0.939874	img_PX4__0_1726960341645599100.png
PX4	1726960342732	978.23	-668.453	-20.5244	0.327962	0.0646221	-0.00969223	0.942428	img_PX4__0_1726960342729743300.png
PX4	1726960343804	977.192	-668.24	-19.4035	0.337277	-0.0200657	-0.00975529	0.941141	img_PX4__0_1726960343800793200.png
