TimeStamp	Altitude	Pressure
1726962117125839600	156.23	99461.52
1726962118099201000	154.94	99476.72
1726962119195724200	155.00	99476.04
1726962120952288500	156.19	99461.91
1726962217433862500	156.73	99455.51
1726962218568272700	153.98	99488.07
1726962219828837700	153.96	99488.34
1726962221257292300	156.31	99460.48
1726962222792077700	156.75	99455.26
1726962224203274000	156.01	99464.02
1726962225631816400	156.00	99464.16
1726962226977071200	155.82	99466.29
